sku,name,category,current_sale_sar,best_landed_sar_est,best_channel,new_sale_sar_at_20pct_margin,profit_per_unit_sar,realized_margin_pct,reprice_delta_sar,action
GM-GPU-GIG-001,Gigabyte AORUS RTX 5090 Master 32GB,Hardware,27999,25948,Amazon.sa,32440,6492,20.0,4441,RAISE
GM-GPU-NVD-001,NVIDIA RTX 5090 Founders Edition (32GB),Hardware,22999,20579,Amazon.sa,25730,5151,20.0,2731,RAISE
GM-MON-SAM-001,"Samsung Odyssey OLED G8 (34"" UWQHD 175Hz)",Gaming,7799,7410,Amazon.sa,9270,1860,20.1,1471,RAISE
NG-DRN-001,DJI Mini 4 Pro - Sub-249g Drone with 4K/60fps Camera,Drones &amp; Robotics,6099,6055,Amazon.sa,7570,1515,20.0,1471,RAISE
NG-DRN-007,"Roborock S8 MaxV Ultra - Smart Robot Vacuum with 10,000Pa Suction",Drones &amp; Robotics,7699,7299,Noon,9130,1831,20.1,1431,RAISE
GM-MON-LGE-001,"LG UltraGear OLED 27GR95QE-B (27"" QHD 240Hz)",Gaming,4899,4754,Noon,5950,1196,20.1,1051,RAISE
GM-MON-ASU-001,"ASUS ROG Swift OLED PG27AQDM (27"" QHD 240Hz)",Gaming,5399,5100,Amazon.sa,6380,1280,20.1,981,RAISE
GM-CHR-SEC-001,Secretlab Titan Evo,Gaming,3499,3527,Amazon.sa,4410,883,20.0,911,RAISE
NG-ACC-008,CalDigit TS4 Thunderbolt 4 Dock - 18-Port Professional Docking Station,Accessories &amp; Lifestyle,2899,1645,Amazon.sa,2060,415,20.1,-839,LOWER
GM-RTR-ASU-001,ASUS ROG Rapture GT-BE19000AI (WiFi 7),Gaming,4799,4485,Noon,5610,1125,20.1,811,RAISE
GM-GPU-NVD-002,NVIDIA RTX 5080 Founders Edition (16GB),Hardware,6499,5826,Amazon.sa,7290,1464,20.1,791,RAISE
NG-DRN-002,DJI Avata 2 - Immersive FPV Drone with Goggles,Drones &amp; Robotics,4099,3903,Noon,4880,977,20.0,781,RAISE
NG-3DP-003,Creality K1 Max - Large Format 3D Printer at 600mm/s,3D Printing &amp; CNC,4199,3958,Amazon.sa,4950,992,20.0,751,RAISE
NT-NET-UBQ-001,Ubiquiti USW-Pro-24-PoE,Networking,3999,3800,Jarir,4750,950,20.0,751,RAISE
NT-FWL-FTN-001,Fortinet FortiGate 60F,Homelab,5499,4971,Amazon.sa,6220,1249,20.1,721,RAISE
GM-MON-SAM-002,"Samsung Odyssey G7 G70D (32"" 4K 144Hz)",Gaming,3499,3375,Jarir,4220,845,20.0,721,RAISE
GM-MON-DEL-001,"Dell Alienware AW2725DF (27"" QD-OLED 360Hz)",Gaming,5599,5024,Amazon.sa,6280,1256,20.0,681,RAISE
NG-3DP-005,Elegoo Saturn 3 Ultra - 12K Resin 3D Printer with 10-inch Screen,3D Printing &amp; CNC,3499,3329,Amazon.sa,4170,841,20.2,671,RAISE
NG-DRN-004,DJI RS 4 - 3-Axis Gimbal Stabilizer for Professional Cameras,Drones &amp; Robotics,3099,3009,Amazon.sa,3770,761,20.2,671,RAISE
GC-SW-ACC1,Adobe Creative Cloud 1 Year | أدوبي كرييتف كلاود,Gift Cards &amp; Software Keys,1999,2123,Noon,2660,537,20.2,661,RAISE
NG-DRN-005,Insta360 X4 - 8K 360-Degree Camera,Drones &amp; Robotics,3499,3288,Amazon.sa,4120,832,20.2,621,RAISE
GM-CHR-RAZ-001,Razer Iskur V2 NewGen,Gaming,3199,3053,Noon,3820,767,20.1,621,RAISE
NG-ACC-004,Seagate IronWolf 18TB NAS Internal Hard Drive - Built for 24/7 Performance,Hardware,2699,2648,Amazon.sa,3320,672,20.2,621,RAISE
NG-ENT-009,HPE ProLiant DL380 Gen10 Server (Refurbished) - Data Center Power at Smart Pricing,Homelab,6499,5662,Amazon.sa,7080,1418,20.0,581,RAISE
SH-RVC-DREM-001,Dreame L50 Ultra,Smart Home &amp; IoT,4599,4126,Jarir,5160,1034,20.0,561,RAISE
NG-3DP-008,Phrozen Sonic Mini 8K S - 22-Micron Pixel Resin 3D Printer,3D Printing &amp; CNC,2899,2764,Noon,3460,696,20.1,561,RAISE
NG-MKR-010,Elegoo Mars 4 Ultra Resin 3D Printer - 9K Resolution for Stunning Detail,Enthusiasts &amp; Gamers,2399,2355,Jarir,2950,595,20.2,551,RAISE
NG-MKR-007,Prusa Mini+ 3D Printer - Professional Precision in a Compact Package,Enthusiasts &amp; Gamers,3299,3055,Amazon.sa,3820,765,20.0,521,RAISE
NG-DRN-008,DJI Pocket 3 - Pocket-Sized Gimbal Camera with 1-Inch Sensor,Drones &amp; Robotics,2999,2811,Amazon.sa,3520,709,20.1,521,RAISE
NT-NET-MKT-004,MikroTik CRS312-4C+8XG-RM,Networking,2799,2637,Amazon.sa,3300,663,20.1,501,RAISE
NT-NET-MKT-003,MikroTik CRS328-24P-4S+RM (PoE),Networking,2699,2560,Noon,3200,640,20.0,501,RAISE
NG-DRN-003,DJI Osmo Action 5 Pro - 4K/120fps Waterproof Action Camera,Drones &amp; Robotics,2499,2397,Amazon.sa,3000,603,20.1,501,RAISE
NG-ENT-008,APC Smart-UPS 1500VA LCD RM 2U (SMT1500RMI2U) - Pure Sine Wave Rack UPS,Homelab,4899,4308,Amazon.sa,5390,1082,20.1,491,RAISE
NT-NAS-SYN-002,Synology DS925+ (4-Bay),Homelab,3499,3182,Amazon.sa,3980,798,20.1,481,RAISE
NG-SH-002,UniFi Protect G4 Pro Camera - 4K Ultra HD Surveillance Excellence,Smart Home &amp; IoT,2899,2688,Amazon.sa,3370,682,20.2,471,RAISE
NG-SEC-004,Ubiquiti UniFi Protect G4 Doorbell Pro - 5MP Smart Doorbell with Fingerprint Reader,Security &amp; Surveillance,2299,2213,Amazon.sa,2770,557,20.1,471,RAISE
NT-MPC-MNF-001,MinisForum MS-01 (Homelab Server),Homelab,3999,3554,Amazon.sa,4450,896,20.1,451,RAISE
NG-DRN-006,FIMI X8 Mini V2 - 4K Drone at 245g with Competitive Pricing,Drones &amp; Robotics,2399,2275,Noon,2850,575,20.2,451,RAISE
NG-ENT-003,Ubiquiti UniFi Dream Machine Pro (UDM-Pro) - All-in-One Enterprise Network Console,Homelab,3099,2794,Noon,3500,706,20.2,401,RAISE
NG-ACC-010,WD Red Plus 8TB NAS Hard Drive - Built for Always-On NAS Systems,Hardware,1449,1458,Amazon.sa,1830,372,20.3,381,RAISE
NT-UPS-APC-001,APC Smart-UPS SMT1500RM2UC (1500VA Rack),Homelab,4899,4203,Amazon.sa,5260,1057,20.1,361,RAISE
NT-NAS-QNP-001,QNAP TS-464-8G (4-Bay),Homelab,2799,2525,Amazon.sa,3160,635,20.1,361,RAISE
NG-NET-011,TP-Link Archer AXE75 - AXE5400 Tri-Band WiFi 6E Router,Networking,1299,1291,Amazon.sa,1620,329,20.3,321,RAISE
GM-CMP-NZX-001,NZXT H9 Elite Mid-Tower ATX Case,Hardware,1349,1320,Amazon.sa,1660,340,20.5,311,RAISE
SH-RVC-ECVX-001,Ecovacs Deebot X9 Pro Omni,Smart Home &amp; IoT,5699,4314,Amazon.sa,5400,1086,20.1,-299,LOWER
NG-ENT-010,Ubiquiti UniFi Switch Pro 24 PoE (USW-Pro-24-PoE) - Smart Managed PoE+ Switch,Homelab,4199,3586,Amazon.sa,4490,904,20.1,291,RAISE
NT-NAS-QNP-002,QNAP TS-262-4G (2-Bay),Homelab,1899,1751,Amazon.sa,2190,439,20.1,291,RAISE
NG-SH-001,Aqara Smart Door Lock A100 - Elite Security with Apple HomeKey Support,Smart Home &amp; IoT,1649,1538,Amazon.sa,1930,392,20.3,281,RAISE
NG-SEC-006,Ajax Hub 2 Plus - Professional Wireless Smart Alarm System,Security &amp; Surveillance,2499,2211,Amazon.sa,2770,559,20.2,271,RAISE
NG-GAM-006,SteelSeries Arctis Nova 7 - Multi-Platform Wireless Gaming Headset,Gaming,1199,1172,Amazon.sa,1470,298,20.3,271,RAISE
GM-KBD-KEY-001,Keychron K10 HE (Arabic Layout),Gaming,999,1012,Amazon.sa,1270,258,20.3,271,RAISE
GM-KBD-COR-001,Corsair K70 MAX RGB,Gaming,1299,1242,Noon,1560,318,20.4,261,RAISE
GM-MOU-RAZ-001,Razer DeathAdder V4 Pro (57g Wireless),Gaming,1149,1125,Amazon.sa,1410,285,20.2,261,RAISE
NG-3DP-007,Creality Sonic Pad - Klipper Tablet to Supercharge Your 3D Printer,3D Printing &amp; CNC,1049,1046,Amazon.sa,1310,264,20.2,261,RAISE
NG-ENT-007,MikroTik CRS326-24G-2S+RM 24-Port Managed Gigabit Switch with 10G SFP+,Homelab,1649,1514,Amazon.sa,1900,386,20.3,251,RAISE
NT-NET-MKT-002,MikroTik CRS326-24G-2S+RM,Networking,1199,1154,Jarir,1450,296,20.4,251,RAISE
NT-FWL-NGT-001,Netgate 4200 MAX pfSense+ Gateway,Homelab,3399,2904,Amazon.sa,3640,736,20.2,241,RAISE
NT-UPS-APC-002,APC Back-UPS Pro BX1500M (Tower),Homelab,1599,1469,Amazon.sa,1840,371,20.2,241,RAISE
GM-KBD-RAZ-001,Razer Huntsman V3 Pro TKL,Gaming,1349,1265,Amazon.sa,1590,325,20.4,241,RAISE
NT-NAS-SYN-001,Synology DS225+ (2-Bay),Homelab,2099,1864,Amazon.sa,2330,466,20.0,231,RAISE
NG-GAM-012,Elgato Wave:3 - Premium USB Condenser Microphone for Streaming,Gaming,1149,1104,Amazon.sa,1380,276,20.0,231,RAISE
NG-MKR-002,Raspberry Pi 5 Ultimate Starter Kit - Everything You Need in One Box,Hardware,1149,1097,Noon,1380,283,20.5,231,RAISE
NG-GAM-010,BenQ Zowie XL2546K - 240Hz Esports Gaming Monitor,Gaming,2999,2575,Amazon.sa,3220,645,20.0,221,RAISE
NG-ENT-004,UniFi 6 Long-Range (U6-LR) - High-Performance WiFi 6 Access Point,Homelab,1649,1490,Noon,1870,380,20.3,221,RAISE
NT-WAP-UBQ-002,Ubiquiti UniFi U7 Pro,Networking,1399,1289,Amazon.sa,1620,331,20.4,221,RAISE
GM-CTR-SON-001,Sony DualSense Edge Controller,Gaming,1349,1255,Amazon.sa,1570,315,20.1,221,RAISE
NG-GAM-005,Elgato HD60 X - External Capture Card for Streaming and Recording,Gaming,1249,1169,Amazon.sa,1470,301,20.5,221,RAISE
NT-POE-UBQ-001,Ubiquiti USW-Lite-8-PoE,Networking,849,854,Noon,1070,216,20.2,221,RAISE
NG-ENT-005,Asustor Flashstor 6 (FS6706T) - All-NVMe SSD NAS for Extreme Performance,Homelab,3099,2644,Amazon.sa,3310,666,20.1,211,RAISE
GM-HST-HPX-001,HyperX Cloud Alpha Wireless (300hr),Gaming,1199,1125,Amazon.sa,1410,285,20.2,211,RAISE
GM-CAP-ELG-001,Elgato HD60 X Capture Card,Gaming,1099,1048,Amazon.sa,1310,262,20.0,211,RAISE
NT-UPS-CYB-001,CyberPower OR1500LCDRM1U (1500VA 1U),Homelab,2099,1835,Amazon.sa,2300,465,20.2,201,RAISE
NG-MKR-001,Raspberry Pi 5 8GB - The New Standard in Single Board Computing,Hardware,899,879,Amazon.sa,1100,221,20.1,201,RAISE
SH-RVC-RBRC-001,Roborock Qrevo CurvX,Smart Home &amp; IoT,4599,3828,Amazon.sa,4790,962,20.1,191,RAISE
NG-GAM-004,Razer BlackWidow V4 75% - Compact Mechanical Gaming Keyboard,Gaming,1199,1108,Amazon.sa,1390,282,20.3,191,RAISE
GM-HST-STS-001,SteelSeries Arctis Nova 7 Wireless,Gaming,1149,1066,Noon,1340,274,20.4,191,RAISE
NG-MKR-009,ESP32-S3 DevKit 10-Pack - Wi-Fi + Bluetooth 5 Microcontroller for Smart Projects,Hardware,699,707,Noon,890,183,20.5,191,RAISE
NG-ENT-006,Synology DiskStation DS1621+ 6-Bay NAS - Enterprise Storage Powerhouse,Homelab,5599,4621,Amazon.sa,5780,1159,20.0,181,RAISE
NG-NET-002,TP-Link Deco XE75 (3-Pack) - AXE5400 WiFi 6E Whole-Home Mesh System,Networking,2099,1817,Amazon.sa,2280,463,20.3,181,RAISE
NG-NET-003,Ubiquiti UniFi Switch Lite 16 PoE - 16-Port Managed Gigabit PoE+ Switch,Networking,1399,1261,Amazon.sa,1580,319,20.2,181,RAISE
NG-ACC-006,"Samsung T7 Shield 2TB Portable SSD - Rugged, Fast, and Secure",Hardware,1299,1182,Amazon.sa,1480,298,20.1,181,RAISE
NG-SEC-002,Reolink Argus 4 Pro - Solar-Powered Wireless 4K Security Camera,Security &amp; Surveillance,1199,1102,Amazon.sa,1380,278,20.1,181,RAISE
GM-STR-HPX-001,HyperX QuadCast S USB Microphone,Gaming,949,900,Amazon.sa,1130,230,20.3,181,RAISE
NT-WAP-TPL-002,TP-Link Omada EAP650,Networking,799,779,Noon,980,201,20.5,181,RAISE
NG-3DP-001,Bambu Lab P1S 3D Printer - Blazing Speed and Pro Quality in an Enclosed Design,3D Printing &amp; CNC,5099,4211,Amazon.sa,5270,1059,20.1,171,RAISE
GM-CTR-MSF-001,Xbox Elite Controller Series 2 Core,Gaming,1149,1054,Amazon.sa,1320,266,20.2,171,RAISE
GM-HST-RAZ-001,Razer BlackShark V2 Pro 2023,Gaming,999,935,Amazon.sa,1170,235,20.1,171,RAISE
NT-WAP-UBQ-001,Ubiquiti UniFi U6 Pro,Networking,999,931,Amazon.sa,1170,239,20.4,171,RAISE
NT-NET-MKT-001,MikroTik CRS305-1G-4S+IN,Networking,999,935,Noon,1170,235,20.1,171,RAISE
NG-GAM-009,Corsair K70 RGB Pro - Legendary Mechanical Gaming Keyboard,Gaming,999,932,Amazon.sa,1170,238,20.3,171,RAISE
NG-GAM-003,HyperX Cloud III Wireless - Premium Wireless Gaming Headset,Gaming,999,934,Noon,1170,236,20.2,171,RAISE
GM-CMP-COR-001,Corsair iCUE H150i RGB Elite (360mm AIO),Hardware,1149,1043,Amazon.sa,1310,267,20.4,161,RAISE
GM-CAP-AVR-001,AVerMedia Live Gamer Ultra S,Gaming,1049,962,Amazon.sa,1210,248,20.5,161,RAISE
NG-NET-012,Ubiquiti UniFi Cloud Gateway Ultra - All-in-One UniFi Gateway,Networking,899,848,Noon,1060,212,20.0,161,RAISE
NG-GAM-007,8BitDo Arcade Stick - Authentic Arcade Experience at Home,Gaming,799,762,Noon,960,198,20.7,161,RAISE
GM-KBD-LOG-001,Logitech G Pro X TKL LIGHTSPEED,Gaming,1199,1075,Amazon.sa,1350,275,20.4,151,RAISE
NG-GAM-002,Razer DeathAdder V3 HyperSpeed - Ultra-Light Wireless Gaming Mouse,Gaming,849,797,Noon,1000,203,20.3,151,RAISE
NG-ENT-001,"Dell PowerEdge R730 Refurbished Server - Enterprise Power, Smart Investment",Homelab,8099,6354,Amazon.sa,7950,1596,20.1,-149,LOWER
NT-CBL-GEN-001,Cat6a Shielded Bulk Cable (305m),Networking,849,789,Noon,990,201,20.3,141,RAISE
NG-MKR-006,Arduino Mega 2560 Rev3 - The Ultimate Microcontroller Board for Advanced Projects,Hardware,549,547,Jarir,690,143,20.7,141,RAISE
NG-MKR-008,Creality Ender-3 V3 SE - The Best Entry-Level 3D Printer,Enthusiasts &amp; Gamers,1199,1059,Amazon.sa,1330,271,20.4,131,RAISE
NT-MPC-BLK-002,Beelink EQ12 (Intel N100),Homelab,999,904,Amazon.sa,1130,226,20.0,131,RAISE
GM-STR-ELG-001,Elgato Stream Deck MK.2,Gaming,949,860,Amazon.sa,1080,220,20.4,131,RAISE
GC-NFX-100,Netflix Gift Card $100 | بطاقة نتفلكس,Gift Cards &amp; Software Keys,389,411,Jarir,520,109,20.9,131,RAISE
NG-MKR-005,Elgato Stream Deck MK.2 - Professional Productivity Console with 15 LCD Keys,Enthusiasts &amp; Gamers,1249,1093,Amazon.sa,1370,277,20.2,121,RAISE
NG-NET-004,MikroTik CRS305-1G-4S+IN - 4-Port 10G SFP+ Desktop Switch,Networking,1149,1016,Amazon.sa,1270,254,20.0,121,RAISE
GC-APL-100,Apple Gift Card $100 | بطاقة آبل,Gift Cards &amp; Software Keys,389,403,Noon,510,107,21.0,121,RAISE
NG-MKR-004,Meta Quest 3 128GB - The Most Powerful Mixed Reality Headset,Enthusiasts &amp; Gamers,3299,2724,Amazon.sa,3410,686,20.1,111,RAISE
NG-SEC-003,Hikvision DS-2CD2143G2-I - 4MP AcuSense Dome Camera,Security &amp; Surveillance,749,687,Amazon.sa,860,173,20.1,111,RAISE
SH-SPK-APPL-001,Apple HomePod Mini,Smart Home &amp; IoT,699,647,Noon,810,163,20.2,111,RAISE
GC-SW-OFF24,Microsoft Office 2024 Pro Plus | أوفيس 2024 برو,Gift Cards &amp; Software Keys,349,364,Amazon.sa,460,96,21.0,111,RAISE
SH-LGT-PHUE-002,Philips Hue Gradient Lightstrip (2m),Smart Home &amp; IoT,1149,828,Amazon.sa,1040,212,20.4,-109,LOWER
SH-LCK-YALE-001,Yale Assure Lock 2 Wi-Fi,Smart Home &amp; IoT,1549,1319,Amazon.sa,1650,331,20.1,101,RAISE
NG-SEC-007,Eufy Video Doorbell S330 - Dual Camera Smart Doorbell (2K + Package Cam),Security &amp; Surveillance,1449,1232,Noon,1550,318,20.5,101,RAISE
GM-MOU-LOG-001,Logitech G Pro X Superlight 2 DEX,Gaming,1099,954,Amazon.sa,1200,246,20.5,101,RAISE
NG-NET-005,Ubiquiti UniFi 6 Lite - WiFi 6 Access Point (AX1500),Networking,849,754,Amazon.sa,950,196,20.6,101,RAISE
GM-RGB-GOV-001,Govee DreamView G1 Pro Gaming Light,Gaming,749,674,Amazon.sa,850,176,20.7,101,RAISE
SH-HUB-HASS-001,Home Assistant Green,Smart Home &amp; IoT,699,633,Noon,800,167,20.8,101,RAISE
