Section,Item,Value,Unit,Tag,Source,Notes
1. Constants,SAR per USD,3.75,SAR/USD,confirmed_from_repo,scripts/live-market-sync.js:10,Hardcoded peg
1. Constants,Target margin over landed cost,15,%,confirmed_from_repo,scripts/price-governor.js:11,TARGET_MARGIN
1. Constants,Market variance threshold,5,%,confirmed_from_repo,scripts/price-governor.js:12,MARKET_VARIANCE_THRESHOLD
1. Constants,International shipping per kg,60,SAR/kg,confirmed_from_repo,scripts/live-market-sync.js:11,INTL_SHIPPING_KG
1. Constants,Customs + VAT multiplier,1.2075,x,confirmed_from_repo,scripts/live-market-sync.js:12,5% customs + 15% VAT
1. Constants,Local delivery flat fee,30,SAR/order,confirmed_from_repo,scripts/live-market-sync.js / price_sync.py:35,FLAT_FEE_SAR
1. Constants,VAT standard rate (KSA),15,%,confirmed_from_web,https://www.cleartax.com/sa/vat-rates-saudi-arabia,Effective 2020-07-01
1. Constants,Customs duty (electronics typical),5,%,default_office_assumption,office_default_pack,Verify per HS code at ZATCA
,,,,,,
2. Worked unit (physical: 1kg item @ $50 FOB),FOB cost USD,50,USD,default_office_assumption,office_default_pack,Sample value; Cost Price FOB column is empty in master CSV (n=0/288)
2. Worked unit,FOB cost SAR,187.50,SAR,confirmed_from_repo,= 50 * 3.75,
2. Worked unit,Intl shipping (1kg),60,SAR,confirmed_from_repo,= 1 * 60,
2. Worked unit,Subtotal pre-customs,247.50,SAR,confirmed_from_repo,= 187.50 + 60,
2. Worked unit,After customs+VAT (x1.2075),298.86,SAR,confirmed_from_repo,= 247.50 * 1.2075,
2. Worked unit,Local delivery,30,SAR,confirmed_from_repo,+ 30,
2. Worked unit,Landed cost (per unit),328.86,SAR,confirmed_from_repo,= 298.86 + 30,
2. Worked unit,Sale price (15% margin),378.19,SAR,confirmed_from_repo,= 328.86 * 1.15,
2. Worked unit,Gross margin per unit,49.33,SAR,confirmed_from_repo,= 378.19 - 328.86,
,,,,,,
3. Worked unit (digital: gift card),Wholesale FOB,80,USD,default_office_assumption,office_default_pack,Sample - replace with actual supplier price
3. Worked unit,Wholesale SAR,300.00,SAR,confirmed_from_repo,= 80 * 3.75,
3. Worked unit,Customs+VAT (digital),1.15,x,default_office_assumption,office_default_pack,Digital often only VAT 15% no customs - verify per code
3. Worked unit,Landed cost,345.00,SAR,confirmed_from_repo,= 300 * 1.15,
3. Worked unit,Sale price (15% margin),396.75,SAR,confirmed_from_repo,= 345 * 1.15,
3. Worked unit,Gross margin per unit,51.75,SAR,confirmed_from_repo,= 396.75 - 345,
,,,,,,
4. Operating cost (monthly),VPS hosting (blazr.net plan),unknown,SAR/mo,unknown,not_in_repo,Confirm VPS plan tier and SAR rate
4. Operating cost,Domain renewal,unknown,SAR/yr,unknown,not_in_repo,Typical .store ~ USD 50-80/yr
4. Operating cost,Email hosting (Namecheap),unknown,SAR/mo,unknown,not_in_repo,
4. Operating cost,Tabby/BNPL fee range (low),2.79,%,confirmed_from_web,https://paymentproviders.io/compare/tamara-vs-tabby,Of order value
