Rank,SKU,Category,Product Name (EN),Weight (kg),Shipping Class,Regular Price (SAR),Sale Price (SAR),Amazon SA Ref Price,Supplier Name,Supplier Type,Supplier Price,Supplier Currency,Supplier Buy URL,Supplier Price Source,Tag,Source Note
1,NT-CBL-FSC-001,Networking,10G SFP+ DAC Twinax Cable (1m),0.15,Standard,80,,63,Amazon.sa,Local market reference / supplier option,63,SAR,https://www.amazon.sa/-/en/QSFPTEK-SFP-SFP-H10GB-CU1M-Ubiquiti-Mikrotik/dp/B087PB2ZP3/ref=sr_1_4,Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
2,NT-SFP-FSC-001,Networking,FS.com 10GBASE-SR SFP+ Transceiver,0.05,Standard,129,,,Amazon.sa,Local market reference / supplier option,65,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
3,SH-PLG-TPLK-001,Smart Home & IoT,"TP-Link Tapo P125M Smart Plug (Matter, 2-pack)",0.2,Standard,149,,,Amazon.sa,Local market reference / supplier option,103,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
4,SH-PLG-MERS-001,Smart Home & IoT,Meross Smart Plug Mini MSS110 (HomeKit),0.1,Standard,159,,,Amazon.sa,Local market reference / supplier option,113,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
5,NG-SH-015,Smart Home & IoT,Sonoff SNZB-02D Zigbee Temperature &amp; Humidity Sensor with LCD Display,0.05,Standard,159,,,Amazon.sa,Local market reference / supplier option,62,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
6,NG-SH-008,Smart Home & IoT,Shelly Plus 1PM - Smart Wi-Fi Relay with Power Monitoring,0.05,Standard,189,,,Amazon.sa,Local market reference / supplier option,100,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
7,NG-NET-009,Networking,Netgear GS308E - 8-Port Gigabit Plus Smart Managed Switch,0.5,Standard,209,,,Amazon.sa,Local market reference / supplier option,130,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
8,NG-NET-006,Networking,TP-Link TL-SG108E - 8-Port Gigabit Easy Smart Managed Switch,0.5,Standard,229,,,Amazon.sa,Local market reference / supplier option,123,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
9,SH-SWB-SWBT-002,Smart Home & IoT,SwitchBot Bot (Smart Button Pusher),0.1,Standard,239,,,Amazon.sa,Local market reference / supplier option,78,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
10,NG-SH-004,Smart Home & IoT,Aqara Water Leak Sensor - Safeguard Your Home from Water Damage,0.05,Standard,259,219,,Amazon.sa,Local market reference / supplier option,143,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
