ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Sale price,Regular price,Categories,Brands,Shipping class,Weight (kg),Length (cm),Width (cm),Height (cm),Meta: _ng_warranty,Meta: _ng_tech_specs,Meta: _ng_ar_title,Meta: _ng_ar_description,Meta: _ng_model_number,Meta: _ng_country_of_origin,Meta: _ng_hs_code,Meta: _ng_voltage,Meta: _ng_lifecycle_status
42,simple,GC-SW-ACC1,,Adobe Creative Cloud 1 Year,0,0,visible,1999,2499,Gift Cards & Software Keys,,Digital - No Shipping,,,,,Standard NGS Warranty,Condition: New | Class: Digital - No Shipping,أدوبي كرييتف كلاود,<p>اشتراك Adobe Creative Cloud لمدة سنة يوفر لك الوصول إلى مجموعة شاملة من أقوى أدوات التحرير والتصميم.</p> <section> <h2><strong>لماذا هذا المنتج؟</strong></h2> <ul>,,,,,Mainstream
43,simple,GC-SW-KTS1,,Kaspersky Total Security 1 Year,0,0,visible,119,149,Gift Cards & Software Keys,,Digital - No Shipping,,,,,Standard NGS Warranty,Condition: New | Class: Digital - No Shipping,كاسبرسكي,<p>كاسبرسكاي توتال سيركيتيون لعام واحد لحماية جهازك من الفيروسات والتهديدات بشكل شامل.</p> <h2><strong>لماذا هذا المنتج؟</strong></h2> <ul> <li>حماية متقدمة ضد الفيروسات والبرامج الخب,,,,,Mainstream
44,simple,GC-APL-100,,Apple Gift Card $100,1,0,visible,,389,Gift Cards & Software Keys,,Digital - No Shipping,,,,,Standard NGS Warranty,Condition: New | Class: Digital - No Shipping,بطاقة آبل,"<p>بطاقة هدية Apple بقيمة 100 دولار أميركي لشراء منتجات متعددة.</p> <h2><strong>لماذا هذا المنتج؟</strong></h2> <ul style=""direction: rtl;""> <li>توفير قيمة 100 دولار أميركي لشراء منتج",,,,,Mainstream
45,simple,GC-GP-50,,Google Play $50 Gift Card,1,0,visible,,199,Gift Cards & Software Keys,,Digital - No Shipping,,,,,Standard NGS Warranty,Condition: New | Class: Digital - No Shipping,بطاقة قوقل بلاي,<p>تمنحك بطاقة Google Play بقيمة 50 دولار إمكانية الشراء من متجر التطبيقات والألعاب والأفلام والمزيد.</p> <h2><strong>لماذا هذا المنتج؟</strong></h2> <ul> <li>مثالي لشراء التطبيقات وا,,,,,Mainstream
46,simple,GC-NFX-100,,Netflix Gift Card $100,1,0,visible,,389,Gift Cards & Software Keys,,Digital - No Shipping,,,,,Standard NGS Warranty,Condition: New | Class: Digital - No Shipping,بطاقة نتفلكس,<p>تمنح بطاقة هدية Netflix بقيمة 100 دولار إمكانية الوصول إلى خدمات الترفيه عبر الإنترنت من Netflix.</p> <strong>لماذا هذا المنتج؟</strong> <ul> <li>صالح لجميع الحسابات على Netflix.</,,,,,Mainstream
47,simple,GC-XBX-GPU3,,Xbox Game Pass Ultimate 3 Months,0,0,visible,149,179,Gift Cards & Software Keys,,Digital - No Shipping,,,,,Standard NGS Warranty,Condition: New | Class: Digital - No Shipping,قيم باس,"<p>اشتراك Xbox Game Pass Ultimate لمدة 3 أشهر، يوفر لك مكتبة ضخمة من الألعاب بالإضافة إلى خدمة EA Play و Xbox Live Gold.</p> <h2><strong>لماذا هذا المنتج؟</strong></h2> <ul style=""direction:",,,,,Mainstream
48,simple,GC-STM-50,,Steam Wallet $50 Gift Card,1,0,visible,,199,Gift Cards & Software Keys,,Digital - No Shipping,,,,,Standard NGS Warranty,Condition: New | Class: Digital - No Shipping,بطاقة ستيم,"<p>بطاقة هدية Steam Wallet بقيمة 50 دولارًا، تتيح لك شراء الألعاب والتحديثات وعناصر متجر Steam.</p> <h2><strong>لماذا هذا المنتج؟</strong></h2> <ul style=""direction: ltr;""> <li>تسهيل",,,,,Mainstream
49,simple,GC-PSN-50,,PlayStation Store $50 Gift Card,1,0,visible,,199,Gift Cards & Software Keys,,Digital - No Shipping,,,,,Standard NGS Warranty,Condition: New | Class: Digital - No Shipping,بطاقة بلايستيشن,"<p>استمتع بتجربة الألعاب الإلكترونية المذهلة عبر PlayStation Store ببطاقة هدية قيمتها 50 دولار.</p> <h2><strong>لماذا هذا المنتج؟</strong></h2> <ul style=""direction: rtl;""> <li>يسمح ب",,,,,Mainstream
50,simple,GC-SW-OFF24,,Microsoft Office 2024 Pro Plus,0,0,visible,349,399,Gift Cards & Software Keys,,Digital - No Shipping,,,,,Standard NGS Warranty,Condition: New | Class: Digital - No Shipping,أوفيس 2024 برو,"<p>مفتاح تفعيل Microsoft Office 2024 Pro Plus، يشمل Word, Excel, PowerPoint, و Outlook.</p> <strong>لماذا هذا المنتج؟</strong> <ul> <li>يحتوي على أحدث إصدارات برامج Microsoft الرئيسية",,,,,Mainstream
51,simple,GC-SW-WIN11,,Windows 11 Pro License Key,0,0,visible,199,249,Gift Cards & Software Keys,,Digital - No Shipping,,,,,Standard NGS Warranty,Condition: New | Class: Digital - No Shipping,مفتاح ويندوز 11 برو,<p>مفتاح تفعيل أصلي لنظام التشغيل Windows 11 Professional، متوفر فورًا عبر البريد الإلكتروني.</p> <section> <h3><strong>لماذا هذا المنتج؟</strong></h3> <ul> <li>دعم الن,,,,,Mainstream
52,simple,GM-RTR-ASU-001,,ASUS ROG Rapture GT-BE19000AI (WiFi 7),0,0,visible,,4799,Gaming,,Heavy,3.2,45,35,20,Standard NGS Warranty,Condition: New | Class: Heavy,اسوس روج Rapture GT-BE19000AI (WiFi 7),"<p>تتميز شبكة ASUS ROG Rapture GT-BE19000AI بمواصفات متقدمة تجعلها الخيار الأمثل لمستخدمي الألعاب والمتخصصين في الشبكات.</p> <strong>لماذا هذا المنتج؟</strong> <ul style=""direction: rtl;""> <li>دع",,,,,Mainstream
53,simple,GM-PGA-JSA-001,,JSAUX 6-in-1 Dock (Steam Deck/ROG Ally),0,0,visible,459,529,Gaming,,Standard,0.35,18,12,6,Standard NGS Warranty,Condition: New | Class: Standard,جيه ساكس 6-in-1 دوك (ستيم ديك/ROG Ally),"<!-- فقرة افتتاحية واحدة --> <p>تعد دوك JSAUX 6-in-1 Dock الخيار الأمثل لمستخدمي Steam Deck وrog Ally، حيث توفر حلًا متكاملًا للشحن والاتصال.</p> <!-- قسم ""لماذا هذا المنتج؟"" --> <strong>",,,,,Mainstream
