id,name,sku,status,price,regular_price,sale_price,stock_status,stock_quantity,short_description,permalink
6348,Amazon Prime | أمازون برايم,GC-AZN-PRIME,publish,19,,,instock,,"<p>Amazon Prime — free shipping, Prime Video, and more.</p>
",https://neogen.store/product/amazon-prime/
6347,YouTube Premium | يوتيوب بريميوم,GC-YT-PREM,publish,29,,,instock,,"<p>YouTube Premium — ad-free, background play, offline downloads.</p>
",https://neogen.store/product/youtube-premium/
6261,Adobe Creative Cloud 1 Year | أدوبي كرييتف كلاود,GC-SW-ACC1,publish,229,,,instock,,"<p>Adobe CC All Apps 1 year subscription — instant delivery</p>
",https://neogen.store/product/adobe-creative-cloud-1-year-%d8%a3%d8%af%d9%88%d8%a8%d9%8a-%d9%83%d8%b1%d9%8a%d9%8a%d8%aa%d9%81-%d9%83%d9%84%d8%a7%d9%88%d8%af/
6260,Kaspersky Total Security 1 Year | كاسبرسكي,GC-SW-KTS1,publish,229,,,instock,,"<p>Kaspersky Total Security 1 device / 1 year — instant key</p>
",https://neogen.store/product/kaspersky-total-security-1-year-%d9%83%d8%a7%d8%b3%d8%a8%d8%b1%d8%b3%d9%83%d9%8a/
6259,Apple Gift Card $100 | بطاقة آبل,GC-APL-100,publish,109,,,instock,,"<p>Apple $100 gift card — instant delivery</p>
",https://neogen.store/product/apple-gift-card-100-%d8%a8%d8%b7%d8%a7%d9%82%d8%a9-%d8%a2%d8%a8%d9%84/
6258,Google Play $50 Gift Card | بطاقة قوقل بلاي,GC-GP-50,publish,45,,,instock,,"<p>Google Play $50 gift card — US region</p>
",https://neogen.store/product/google-play-50-gift-card-%d8%a8%d8%b7%d8%a7%d9%82%d8%a9-%d9%82%d9%88%d9%82%d9%84-%d8%a8%d9%84%d8%a7%d9%8a/
6256,Xbox Game Pass Ultimate 3 Months | قيم باس,GC-XBX-GPU3,publish,75,,,instock,,"<p>3 months Xbox Game Pass Ultimate — instant code</p>
",https://neogen.store/product/xbox-game-pass-ultimate-3-months-%d9%82%d9%8a%d9%85-%d8%a8%d8%a7%d8%b3/
6255,Steam Wallet $50 Gift Card | بطاقة ستيم,GC-STM-50,publish,45,,,instock,,"<p>Steam $50 gift card — instant delivery</p>
",https://neogen.store/product/steam-wallet-50-gift-card-%d8%a8%d8%b7%d8%a7%d9%82%d8%a9-%d8%b3%d8%aa%d9%8a%d9%85/
6254,PlayStation Store $50 Gift Card | بطاقة بلايستيشن,GC-PSN-50,publish,45,,,instock,,"<p>PSN $50 gift card — US region, instant delivery</p>
",https://neogen.store/product/playstation-store-50-gift-card-%d8%a8%d8%b7%d8%a7%d9%82%d8%a9-%d8%a8%d9%84%d8%a7%d9%8a%d8%b3%d8%aa%d9%8a%d8%b4%d9%86/
6253,Microsoft Office 2024 Pro Plus | أوفيس 2024 برو,GC-SW-OFF24,publish,569,,,instock,,"<p>Office 2024 Pro Plus license key — instant delivery</p>
",https://neogen.store/product/microsoft-office-2024-pro-plus-%d8%a3%d9%88%d9%81%d9%8a%d8%b3-2024-%d8%a8%d8%b1%d9%88/
6252,Windows 11 Pro License Key | مفتاح ويندوز 11 برو,GC-SW-WIN11,publish,199,249,199,instock,,"<p>Official Windows 11 Pro digital license key — instant email delivery</p>
",https://neogen.store/product/windows-11-pro-license-key-%d9%85%d9%81%d8%aa%d8%a7%d8%ad-%d9%88%d9%8a%d9%86%d8%af%d9%88%d8%b2-11-%d8%a8%d8%b1%d9%88/
