المعرف,النوع,رمز المنتج (SKU),GTIN، أو UPC، أو EAN، أو ISBN,الاسم,تم النشر,هل هي مميزة؟,إمكانية العرض في الكاتلوج,وصف قصير,الوصف,تاريخ بدء سعر التخفيض,تاريخ نهاية سعر التخفيض,حالة الضريبة,فئة الضريبة,متوفر؟,المخزون,انخفاض كمية المخزون,الطلبات المسبقة مسموحة؟,تباع بشكل فردي؟,الوزن (كيلوجرام),الطول (سنتيميتر),العرض (سنتيميتر),الارتفاع (سنتيميتر),السماح بمراجعات الزبائن؟,ملاحظة عملية الشراء,سعر التخفيض,السعر الافتراضي,التصنيفات,الوسوم,فئة الشحن,الصور,حدود التنزيل,أيام مدة صلاحية التنزيل,الأب,منتجات مُجمّعة,منتجات يوصى بها,منتجات تسويقية,رابط خارجي,نص الزر,الموضع,العلامات التجارية,Blocksy Custom Data,Blocksy Variation Images
,simple,NG-ENT-001,,"Dell PowerEdge R730 Refurbished Server - Enterprise Power, Smart Investment",1,0,visible,"Professional-grade refurbished server. Dual Intel Xeon processors, up to 3TB RAM, full remote management via iDRAC8. Ideal for startups, IT labs, and growing businesses across the GCC.","Build your enterprise infrastructure without the enterprise price tag.

The **Dell PowerEdge R730** from NeoGen is professionally refurbished to Grade A standards, delivering performance identical to new hardware at a fraction of the cost.

**Why This Server?**
- **Massive Processing Power:** Dual Intel Xeon E5-2600 v3/v4 sockets handle virtualization, databases, and VDI with ease.
- **Limitless Memory:** 24 DIMM slots supporting up to 3TB DDR4 RAM.
- **Flexible Storage:** Up to 16x 2.5"" or 8x 3.5"" bays (SAS/SATA/SSD).
- **Remote Management:** iDRAC8 Enterprise for full out-of-band control from anywhere.
- **Redundant Power:** Hot-plug dual PSU ensures zero downtime.

**Technical Specifications:**
| Processor | Dual Intel Xeon E5-2600 v3/v4 |
|---|---|
| Memory | Up to 3TB DDR4 (24 DIMM slots) |
| Storage | 16x 2.5"" SFF or 8x 3.5"" LFF |
| Network | 4x 1GbE + Optional 10GbE |
| Management | iDRAC8 Enterprise |
| Form Factor | 2U Rack (8.73 × 44.40 × 68.40 cm) |
| Weight | 28.2 kg (Max config) |
| Power | Dual Hot-plug (495W/750W/1100W) |",,,taxable,,1,,,0,0,,,,,1,,,5999,Enterprise & IT Pro,,,https://m.media-amazon.com/images/I/51fMKgVrBNL._AC_SL1500_.jpg,,,,,,,,,0,,,
,simple,NG-ENT-002,,Asustor Lockerstor 4 (AS6604T) - Professional 4-Bay NAS for Creators,1,0,visible,High-performance NAS with Intel Quad-Core power. Dual 2.5GbE ports and M.2 NVMe caching for extreme speed. The ultimate storage solution for creative professionals and SMBs.,"Revolutionize your data management with the **Asustor Lockerstor 4**. Designed for power users and small businesses, it offers the perfect balance of speed, capacity, and security.

**Why Lockerstor 4?**
- **Top-Tier Performance:** Powered by an Intel Celeron J4125 Quad-Core CPU, bursting up to 2.7GHz for seamless multitasking.
- **Dual 2.5GbE Networking:** Future-proof your connectivity with speeds up to 5Gbps via Link Aggregation.
- **SSD Caching:** Two M.2 NVMe slots allow you to boost IOPS performance without sacrificing your main storage bays.
- **4K Media Center:** HDMI 2.0a output supports 4K@60Hz hardware transcoding for a smooth multimedia experience.
- **Silent & Efficient:** Operates at a whisper-quiet 17.6dB, making it perfect for home or office environments.

**Technical Specifications:**
| Processor | Intel Celeron J4125 Quad-Core 2.0-2.7GHz |
|---|---|
| Memory | 4GB DDR4 (Expandable to 8GB) |
| Drive Bays | 4x 3.5""/2.5"" SATA HDD/SSD |
| M.2 Slots | 2x M.2 NVMe slots |
| Network | 2x 2.5-Gigabit Ethernet |
| Ports | 3x USB 3.2 Gen 1, 1x HDMI 2.0a |
| Noise Level | 17.6dB |
| Weight | 2.96kg |",,,taxable,,1,,,0,0,,,,,1,,,2199,Enterprise & IT Pro,,,https://m.media-amazon.com/images/I/51qJ+Jzv+QL._AC_SL1500_.jpg,,,,,,,,,0,,,
,simple,NG-ENT-003,,Ubiquiti UniFi Dream Machine Pro (UDM-Pro) - All-in-One Enterprise Network Console,1,0,visible,"The ultimate networking hub. Combines a 10G router, security gateway, switch, and NVR storage in a sleek 1U rackmount design. Professional-grade control for your home or office.","Take total control of your digital environment with the **UniFi Dream Machine Pro**. This powerful all-in-one console is designed to scale with your needs, providing enterprise-grade security and performance.

**Why UDM-Pro?**
- **4-in-1 Integration:** Combines a high-performance Dual-WAN router, an 8-port switch, UniFi Network controller, and UniFi Protect video surveillance.
- **10G SFP+ Connectivity:** Fiber-ready ports for ultra-high-speed downlinks and future-proof internet connections.
- **Advanced Security:** Enterprise-grade firewall with IDS/IPS threat management at a blazing 3.5Gbps throughput.
- **Built-in NVR:** Includes a 3.5"" HDD bay to store your security footage locally—no subscription fees required.
- **Unified Management:** Manage all your UniFi devices (APs, switches, cameras) from a single, intuitive interface.

**Technical Specifications:**
| Processor | Quad-core ARM Cortex-A57 1.7GHz |
|---|---|
| Memory | 4GB DDR4 |
| WAN Ports | 1x 10G SFP+, 1x 1GbE RJ45 |
| LAN Ports | 1x 10G SFP+, 8x 1GbE RJ45 |
| Storage | 1x 3.5"" HDD Bay (NVR) |
| IPS Throughput | 3.5Gbps |
| Form Factor | 1U Rackmount |
| Weight | 3.9kg |",,,taxable,,1,,,0,0,,,,,1,,,2199,Enterprise & IT Pro,,,https://m.media-amazon.com/images/I/61e0u9V0xDL._AC_SL1500_.jpg,,,,,,,,,0,,,
,simple,NG-ENT-004,,UniFi 6 Long-Range (U6-LR) - High-Performance WiFi 6 Access Point,1,0,visible,"Enterprise-grade WiFi 6 AP with extended coverage. 3.0 Gbps aggregate speed, 4x4 MU-MIMO, and support for 350+ concurrent clients. Perfect for large venues and high-density environments.","Maximize your wireless range and performance with the **UniFi 6 Long-Range**. Built for power and reliability, the U6-LR is a high-performance access point that brings the future of WiFi 6 to your large home or office.

**Why U6-LR?**
- **Next-Gen WiFi 6:** Delivering an aggregate throughput of up to 3.0 Gbps, ensuring smooth 4K streaming and lightning-fast downloads.
- **Superior Range:** Engineered for extended coverage of up to 185 m² (2,000 ft²), eliminating dead zones in large spaces.
- **Massive Capacity:** Easily handles over 350 concurrent clients, making it ideal for busy offices or public venues.
- **Advanced Technology:** Features 4x4 MU-MIMO and OFDMA to optimize data delivery and reduce latency across multiple devices.
- **Robust Design:** IP54-rated protection allows for versatile indoor and semi-outdoor installation.

**Technical Specifications:**
| Wireless Standard | WiFi 6 (802.11ax) |
|---|---|
| Aggregate Throughput | 3.0 Gbps (5GHz: 2.4Gbps, 2.4GHz: 600Mbps) |
| MIMO Technology | 4x4 MU-MIMO (5GHz) & 4x4 MIMO (2.4GHz) |
| Client Capacity | 350+ Concurrent Clients |
| Coverage Area | 185 m² (2,000 ft²) |
| Power Method | PoE+ (802.3at) |
| Dimensions | Ø 220 x 48 mm |
| Weight | 800g |",,,taxable,,1,,,0,0,,,,,1,,,1099,Enterprise & IT Pro,,,https://m.media-amazon.com/images/I/21S+PuYlqNL._AC_SL1500_.jpg,,,,,,,,,0,,,
,simple,NG-ENT-005,,Asustor Flashstor 6 (FS6706T) - All-NVMe SSD NAS for Extreme Performance,1,0,visible,"The world's first all-M.2 NVMe NAS. 6x NVMe slots, dual 2.5GbE ports, and a silent, ultra-slim design. Pure speed for professionals and creative artists.","Leave traditional HDDs behind and step into the future of data storage with the **Asustor Flashstor 6**. This isn't just a NAS—it's an all-flash powerhouse designed for those who demand zero latency and maximum throughput.

**Why Flashstor 6?**
- **All-Flash Speed:** With 6 dedicated M.2 NVMe slots, experience read/write speeds that traditional hard drive NAS units simply cannot match.
- **Whisper Quiet:** Operates at just 18.7dB. Without moving mechanical disks, it’s practically silent, making it perfect for your desktop or media center.
- **Stunning Form Factor:** Its sleek, flat design is inspired by gaming consoles, fitting perfectly into modern workspace aesthetics.
- **Intel Quad-Core Power:** Powered by the Intel Celeron N5105, providing the muscle needed for 4K transcoding and fast file indexing.
- **Dual 2.5GbE Networking:** High-speed connectivity ensures your network can keep up with the blistering speed of the NVMe drives.

**Technical Specifications:**
| Processor | Intel Celeron N5105 Quad-Core 2.0-2.9GHz |
|---|---|
| Memory | 4GB DDR4-2933 (Expandable to 16GB) |
| Drive Slots | 6x M.2 NVMe PCIe 3.0 SSD |
| Network | 2x 2.5-Gigabit Ethernet |
| Ports | 2x USB 3.2 Gen 2, HDMI 2.0b, S/PDIF |
| Noise Level | 18.7dB |
| Design | Ultra-compact horizontal chassis |",,,taxable,,1,,,0,0,,,,,1,,,2199,Enterprise & IT Pro,,,https://m.media-amazon.com/images/I/41GZ5hj0tJL._AC_SL1500_.jpg,,,,,,,,,0,,,
,simple,NG-SH-001,,Aqara Smart Door Lock A100 - Elite Security with Apple HomeKey Support,1,0,visible,"Premium smart lock featuring 9 unlocking methods, including Fingerprint and Apple HomeKey. 18-month battery life and seamless integration with HomeKit, Google, and Alexa.","Upgrade your home security with the **Aqara A100**, a highly secure and versatile smart door lock. Say goodbye to physical keys and enjoy the convenience of accessing your home with your fingerprint or your Apple devices.

**Why Aqara A100?**
- **Apple HomeKey Support:** Just tap your iPhone or Apple Watch to unlock your door—convenient, fast, and secure.
- **Swift Fingerprint Access:** Highly accurate biometric sensor recognizes your print in under 0.5 seconds.
- **9 Ways to Unlock:** Use fingerprints, passwords, NFC cards, the app, mechanical keys, or voice assistants.
- **Bank-Grade Security:** Features a Class C lock cylinder and anti-Tesla coil protection to prevent electronic interference hacks.
- **Enduring Power:** Powered by 8 AA batteries lasting up to 18 months, with a USB-C emergency port for backup power.
- **Real-Time Alerts:** Monitor lock status and receive instant notifications on your phone whenever someone enters.

**Technical Specifications:**
| Unlock Methods | 9 Methods (incl. Fingerprint & Apple HomeKey) |
|---|---|
| Connectivity | Zigbee 3.0, Bluetooth 5.0 |
| Battery Life | Up to 18 Months (8x AA Batteries) |
| Cylinder Type | Class C Security Cylinder |
| Compatibility | Apple HomeKit, Google Home, Alexa |
| Safety Features | Anti-peep password, Tamper alert |
| Emergency Power | USB-C Port |",,,taxable,,1,,,0,0,,,,,1,,,1099,Smart Home & IoT,,,https://m.media-amazon.com/images/I/51mSQ7K8dRL._AC_SL1500_.jpg,,,,,,,,,0,,,
,simple,NG-SH-002,,UniFi Protect G4 Pro Camera - 4K Ultra HD Surveillance Excellence,1,0,visible,"The pinnacle of UniFi surveillance. 4K resolution, 3x optical zoom, and superior IR night vision in a weatherproof IP67 housing. Uncompromising detail for maximum security.","See everything, day or night, with the **UniFi Protect G4 Pro**. This top-tier camera delivers breathtaking 4K clarity, ensuring you never miss a detail when it matters most.

**Why G4 Pro?**
- **Crisp 4K Resolution:** A large image sensor provides stunning detail, allowing for facial recognition and license plate identification at a distance.
- **3x Powered Optical Zoom:** Adjust your field of view remotely to focus on specific areas without any loss in image quality.
- **Advanced Night Vision:** High-power infrared LEDs provide exceptional visibility in total darkness, stretching the limits of standard night vision.
- **AI-Driven Detection:** Built-in smart sensing can distinguish between people and vehicles, sending you relevant alerts instead of constant noise.
- **Rugged Durability:** Fully metallic casing with an IP67 rating ensures the camera thrives in harsh weather conditions and high temperatures.
- **Private & Local:** Works with UniFi Protect controllers to store all your data locally on your own hardware, ensuring 100% privacy.

**Technical Specifications:**
| Resolution | 4K Ultra HD (3840 x 2160) |
|---|---|
| Lens | 3x Powered Optical Zoom |
| Sensor | 1/1.8"" OS08A20 |
| Night Vision | High-Power IR LEDs |
| Weatherproofing | IP67 Rated |
| Audio | Integrated Microphone & Speaker |
| Power | PoE (Power over Ethernet) |",,,taxable,,1,,,0,0,,,,,1,,,1899,Smart Home & IoT,,,https://m.media-amazon.com/images/I/21Sn3EPLMDL._AC_SL1500_.jpg,,,,,,,,,0,,,
,simple,NG-SH-003,,Broadlink RM4 Pro - Universal Smart Remote for IR & RF Devices,1,0,visible,"The ultimate smart remote hub. Control your TV, AC, and motorized curtains from your smartphone. Supports 50,000+ IR and RF devices with voice control compatibility.","Clutter-free and smart—the **Broadlink RM4 Pro** replaces all your traditional remotes with a single app on your phone. Whether it's your living room AC or your electric garage door, the RM4 Pro brings them all into your smart home ecosystem.

**Why RM4 Pro?**
- **IR & RF Control:** Unlike standard remotes, it supports both Infrared (TVs, ACs) and Radio Frequency (Curtains, Lights, Garage Doors) devices.
- **Global Control:** Control your home appliances from anywhere in the world via the BroadLink app.
- **Voice Assistant Ready:** Fully compatible with Amazon Alexa and Google Assistant for hands-free convenience.
- **Smart Scenes & Schedules:** Create automated routines, such as turning on the lights at sunset or cooling the room before you arrive.
- **External Sensor Support:** Compatible with the HTS2 cable to monitor temperature and humidity in real-time.

**Technical Specifications:**
| Signal Type | IR (38kHz) & RF (433MHz/315MHz) |
|---|---|
| Range | 360° coverage (8-10m) |
| Connectivity | WiFi 2.4GHz |
| Library | 50,000+ Device Cloud Library |
| Compatibility | Alexa, Google Home, IFTTT |
| Power | USB 5V 1A |",,,taxable,,1,,,0,0,,,,,1,,,185,Smart Home & IoT,,,https://m.media-amazon.com/images/I/41E7XkYzP-L._AC_SL1500_.jpg,,,,,,,,,0,,,
,simple,NG-SH-004,,Aqara Water Leak Sensor - Safeguard Your Home from Water Damage,1,0,visible,Small but powerful sensor that detects leaks instantly. Receive mobile notifications and trigger alarms to prevent costly water damage.,"Prevent minor leaks from becoming major disasters. The **Aqara Water Leak Sensor** monitors your home 24/7, providing peace of mind and protecting your property from unexpected flooding.

**Why Aqara Water Leak Sensor?**
- **Ultra-Sensitive Detection:** Triggers an alarm when water levels reach as little as 0.5mm.
- **Instant Mobile Alerts:** Get notified on your smartphone immediately if a leak is detected, no matter where you are.
- **Smart Automation:** Pair it with an Aqara Hub to sound a siren or trigger other smart devices (like turning off a water valve).
- **Rugged & Durable:** IP67 waterproof rating ensures the sensor remains functional even in harsh conditions or when submerged.
- **Low Energy Consumption:** A single CR2032 battery lasts up to 2 years under normal use.

**Technical Specifications:**
| Connectivity | Zigbee (Requires Aqara Hub) |
|---|---|
| Waterproofing | IP67 Rated |
| Sensitivity | Detects 0.5mm water level |
| Battery | CR2032 (Up to 2-year lifespan) |
| Operating Temp | -10° to +55° C |
| Compatibility | Apple HomeKit, Google Home, IFTTT |",,,taxable,,1,,,0,0,,,,,1,,,99,Smart Home & IoT,,,https://m.media-amazon.com/images/I/41+FxTcuKDL._AC_SL1500_.jpg,,,,,,,,,0,,,
,simple,NG-SH-005,,Sonoff TX Ultimate (T5) Smart Wall Switch - Interactive Elegance with RGB,1,0,visible,"The next generation of smart switches. Full-surface touch control, haptic feedback, and customizable RGB ambient lighting. Fully compatible with GCC 220V standards.","Redefine your light control with the **Sonoff TX Ultimate (T5)**. Combining a sleek design with interactive multi-sensory feedback, it turns your wall switch into a functional piece of art.

**Why TX Ultimate?**
- **Immersive Touch Experience:** The entire surface is a touch sensor. Features haptic feedback (vibration) and sound for a satisfying user experience.
- **Ambient RGB Lighting:** A stunning backlight provides status indicators, atmosphere lighting, or acts as a subtle night light.
- **Versatile Control:** Manage your lights via touch, the eWeLink app, voice commands, or dedicated wireless remotes.
- **Interchangeable Covers:** Customize the look to match your interior design with easily replaceable faceplates.
- **Scene Controller Mode:** Use it to trigger complex smart scenes, controlling multiple devices across your home with a single tap.
- **Safe & Reliable:** Built with high-quality flame-retardant materials and fully compatible with 100-240V electrical systems.

**Technical Specifications:**
| Voltage | 100-240V AC (220V Compatible) |
|---|---|
| Connectivity | WiFi 2.4GHz + Bluetooth |
| Features | RGB Backlight, Haptic Feedback, Sound |
| App | eWeLink |
| Compatibility | Amazon Alexa, Google Home |
| Material | Flame-retardant PC |",,,taxable,,1,,,0,0,,,,,1,,,139,Smart Home & IoT,,,https://m.media-amazon.com/images/I/51ZzA8QWxQL._AC_SL1500_.jpg,,,,,,,,,0,,,
