Priority,SKU,Category,Product Name (EN),Product Type,Weight (kg),Shipping Class,Regular Price (SAR),Sale Price (SAR),Amazon SA Ref Price,Audit Status,Has Sale Price,Has Amazon SA Ref,Dropship Eligible,Missing Fields,Suggested Next Action,Tag
A — Launch now,NG-ENT-001,Homelab,"Dell PowerEdge R730 Refurbished Server - Enterprise Power, Smart Investment",Physical,25,Oversized,8099,,,PASS,no,no,no,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-ENT-003,Homelab,Ubiquiti UniFi Dream Machine Pro (UDM-Pro) - All-in-One Enterprise Network Console,Physical,3.5,Heavy,2570,,2054,PASS,no,yes,no,Sale Price,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-ENT-004,Homelab,UniFi 6 Long-Range (U6-LR) - High-Performance WiFi 6 Access Point,Physical,0.5,Standard,1180,,938,PASS,no,yes,yes,Sale Price,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-ENT-005,Homelab,Asustor Flashstor 6 (FS6706T) - All-NVMe SSD NAS for Extreme Performance,Physical,2,Standard,3099,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-ENT-007,Homelab,MikroTik CRS326-24G-2S+RM 24-Port Managed Gigabit Switch with 10G SFP+,Physical,3.5,Heavy,1110,,884,PASS,no,yes,no,Sale Price,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-ENT-009,Homelab,HPE ProLiant DL380 Gen10 Server (Refurbished) - Data Center Power at Smart Pricing,Physical,25,Oversized,8630,,6899,PASS,no,yes,no,Sale Price,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NT-FWL-FTN-001,Homelab,Fortinet FortiGate 60F,Physical,1.5,Standard,6329,5499,,PASS,yes,no,yes,Amazon SA Ref,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NT-FWL-NGT-001,Homelab,Netgate 4200 MAX pfSense+ Gateway,Physical,1.8,Standard,3399,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NT-FWL-NGT-002,Homelab,Netgate 2100 MAX pfSense+ Gateway,Physical,1.2,Standard,2740,,2191,PASS,no,yes,yes,Sale Price,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NT-MPC-DEL-001,Homelab,Dell OptiPlex 7070 Micro (Refurb),Physical,1.5,Standard,1610,,1282,PASS,no,yes,yes,Sale Price,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
