Priority,Risk,Exception Status,Action,ID,SKU,Product Name,Category,Current Effective Sell Price SAR,Supplier Rank,Supplier Name,Supplier Search URL,Supplier Buy URL,Supplier Price,Currency,Price Source,Notes
1,High,NEEDS_REFERENCE,"Open search URL, pick exact listing, fill Buy URL + Supplier Price",528,GC-FRF-GLOBAL-100,Free Fire Diamonds 100 Diamonds (Global),Gift Cards & Software Keys,5,1,AliExpress,https://www.aliexpress.com/wholesale?SearchText=Free+Fire+Diamonds+100+Diamonds+%28Global%29,,,USD,Needs supplier verification,"Match exact product manually, then fill Buy URL and Supplier Price."
1,High,NEEDS_REFERENCE,"Open search URL, pick exact listing, fill Buy URL + Supplier Price",528,GC-FRF-GLOBAL-100,Free Fire Diamonds 100 Diamonds (Global),Gift Cards & Software Keys,5,2,Alibaba,https://www.alibaba.com/trade/search?SearchText=Free+Fire+Diamonds+100+Diamonds+%28Global%29,,,USD,Needs supplier verification,"Check MOQ, shipping terms, and verified supplier status before buying."
1,High,NEEDS_REFERENCE,"Open search URL, pick exact listing, fill Buy URL + Supplier Price",528,GC-FRF-GLOBAL-100,Free Fire Diamonds 100 Diamonds (Global),Gift Cards & Software Keys,5,3,Amazon.sa,https://www.amazon.sa/s?k=Free+Fire+Diamonds+100+Diamonds+%28Global%29,,,SAR,Needs supplier verification,Uses existing Amazon reference URL and price when the workbook has them.
1,High,NEEDS_REFERENCE,"Open search URL, pick exact listing, fill Buy URL + Supplier Price",528,GC-FRF-GLOBAL-100,Free Fire Diamonds 100 Diamonds (Global),Gift Cards & Software Keys,5,4,Noon,https://www.noon.com/saudi-en/search/?q=Free+Fire+Diamonds+100+Diamonds+%28Global%29,,,SAR,Needs supplier verification,"Verify seller rating, warranty, and marketplace fulfillment before buying."
1,High,NEEDS_REFERENCE,"Open search URL, pick exact listing, fill Buy URL + Supplier Price",528,GC-FRF-GLOBAL-100,Free Fire Diamonds 100 Diamonds (Global),Gift Cards & Software Keys,5,5,B&H Photo,https://www.bhphotovideo.com/c/search?Ntt=Free+Fire+Diamonds+100+Diamonds+%28Global%29&N=0&InitialSearch=yes&sts=ma,,,USD,Needs supplier verification,"Best for cameras, networking, creators, and computer hardware."
1,High,NEEDS_REFERENCE,"Open search URL, pick exact listing, fill Buy URL + Supplier Price",530,GC-FRF-GLOBAL-1080,Free Fire Diamonds 1080 Diamonds (Global),Gift Cards & Software Keys,43,1,AliExpress,https://www.aliexpress.com/wholesale?SearchText=Free+Fire+Diamonds+1080+Diamonds+%28Global%29,,,USD,Needs supplier verification,"Match exact product manually, then fill Buy URL and Supplier Price."
1,High,NEEDS_REFERENCE,"Open search URL, pick exact listing, fill Buy URL + Supplier Price",530,GC-FRF-GLOBAL-1080,Free Fire Diamonds 1080 Diamonds (Global),Gift Cards & Software Keys,43,2,Alibaba,https://www.alibaba.com/trade/search?SearchText=Free+Fire+Diamonds+1080+Diamonds+%28Global%29,,,USD,Needs supplier verification,"Check MOQ, shipping terms, and verified supplier status before buying."
1,High,NEEDS_REFERENCE,"Open search URL, pick exact listing, fill Buy URL + Supplier Price",530,GC-FRF-GLOBAL-1080,Free Fire Diamonds 1080 Diamonds (Global),Gift Cards & Software Keys,43,3,Amazon.sa,https://www.amazon.sa/s?k=Free+Fire+Diamonds+1080+Diamonds+%28Global%29,,,SAR,Needs supplier verification,Uses existing Amazon reference URL and price when the workbook has them.
1,High,NEEDS_REFERENCE,"Open search URL, pick exact listing, fill Buy URL + Supplier Price",530,GC-FRF-GLOBAL-1080,Free Fire Diamonds 1080 Diamonds (Global),Gift Cards & Software Keys,43,4,Noon,https://www.noon.com/saudi-en/search/?q=Free+Fire+Diamonds+1080+Diamonds+%28Global%29,,,SAR,Needs supplier verification,"Verify seller rating, warranty, and marketplace fulfillment before buying."
1,High,NEEDS_REFERENCE,"Open search URL, pick exact listing, fill Buy URL + Supplier Price",530,GC-FRF-GLOBAL-1080,Free Fire Diamonds 1080 Diamonds (Global),Gift Cards & Software Keys,43,5,B&H Photo,https://www.bhphotovideo.com/c/search?Ntt=Free+Fire+Diamonds+1080+Diamonds+%28Global%29&N=0&InitialSearch=yes&sts=ma,,,USD,Needs supplier verification,"Best for cameras, networking, creators, and computer hardware."
1,High,NEEDS_REFERENCE,"Open search URL, pick exact listing, fill Buy URL + Supplier Price",531,GC-FRF-GLOBAL-2200,Free Fire Diamonds 2200 Diamonds (Global),Gift Cards & Software Keys,88,1,AliExpress,https://www.aliexpress.com/wholesale?SearchText=Free+Fire+Diamonds+2200+Diamonds+%28Global%29,,,USD,Needs supplier verification,"Match exact product manually, then fill Buy URL and Supplier Price."
1,High,NEEDS_REFERENCE,"Open search URL, pick exact listing, fill Buy URL + Supplier Price",531,GC-FRF-GLOBAL-2200,Free Fire Diamonds 2200 Diamonds (Global),Gift Cards & Software Keys,88,2,Alibaba,https://www.alibaba.com/trade/search?SearchText=Free+Fire+Diamonds+2200+Diamonds+%28Global%29,,,USD,Needs supplier verification,"Check MOQ, shipping terms, and verified supplier status before buying."
1,High,NEEDS_REFERENCE,"Open search URL, pick exact listing, fill Buy URL + Supplier Price",531,GC-FRF-GLOBAL-2200,Free Fire Diamonds 2200 Diamonds (Global),Gift Cards & Software Keys,88,3,Amazon.sa,https://www.amazon.sa/s?k=Free+Fire+Diamonds+2200+Diamonds+%28Global%29,,,SAR,Needs supplier verification,Uses existing Amazon reference URL and price when the workbook has them.
1,High,NEEDS_REFERENCE,"Open search URL, pick exact listing, fill Buy URL + Supplier Price",531,GC-FRF-GLOBAL-2200,Free Fire Diamonds 2200 Diamonds (Global),Gift Cards & Software Keys,88,4,Noon,https://www.noon.com/saudi-en/search/?q=Free+Fire+Diamonds+2200+Diamonds+%28Global%29,,,SAR,Needs supplier verification,"Verify seller rating, warranty, and marketplace fulfillment before buying."
1,High,NEEDS_REFERENCE,"Open search URL, pick exact listing, fill Buy URL + Supplier Price",531,GC-FRF-GLOBAL-2200,Free Fire Diamonds 2200 Diamonds (Global),Gift Cards & Software Keys,88,5,B&H Photo,https://www.bhphotovideo.com/c/search?Ntt=Free+Fire+Diamonds+2200+Diamonds+%28Global%29&N=0&InitialSearch=yes&sts=ma,,,USD,Needs supplier verification,"Best for cameras, networking, creators, and computer hardware."
1,High,NEEDS_REFERENCE,"Open search URL, pick exact listing, fill Buy URL + Supplier Price",529,GC-FRF-GLOBAL-310,Free Fire Diamonds 310 Diamonds (Global),Gift Cards & Software Keys,12,1,AliExpress,https://www.aliexpress.com/wholesale?SearchText=Free+Fire+Diamonds+310+Diamonds+%28Global%29,,,USD,Needs supplier verification,"Match exact product manually, then fill Buy URL and Supplier Price."
1,High,NEEDS_REFERENCE,"Open search URL, pick exact listing, fill Buy URL + Supplier Price",529,GC-FRF-GLOBAL-310,Free Fire Diamonds 310 Diamonds (Global),Gift Cards & Software Keys,12,2,Alibaba,https://www.alibaba.com/trade/search?SearchText=Free+Fire+Diamonds+310+Diamonds+%28Global%29,,,USD,Needs supplier verification,"Check MOQ, shipping terms, and verified supplier status before buying."
1,High,NEEDS_REFERENCE,"Open search URL, pick exact listing, fill Buy URL + Supplier Price",529,GC-FRF-GLOBAL-310,Free Fire Diamonds 310 Diamonds (Global),Gift Cards & Software Keys,12,3,Amazon.sa,https://www.amazon.sa/s?k=Free+Fire+Diamonds+310+Diamonds+%28Global%29,,,SAR,Needs supplier verification,Uses existing Amazon reference URL and price when the workbook has them.
1,High,NEEDS_REFERENCE,"Open search URL, pick exact listing, fill Buy URL + Supplier Price",529,GC-FRF-GLOBAL-310,Free Fire Diamonds 310 Diamonds (Global),Gift Cards & Software Keys,12,4,Noon,https://www.noon.com/saudi-en/search/?q=Free+Fire+Diamonds+310+Diamonds+%28Global%29,,,SAR,Needs supplier verification,"Verify seller rating, warranty, and marketplace fulfillment before buying."
1,High,NEEDS_REFERENCE,"Open search URL, pick exact listing, fill Buy URL + Supplier Price",529,GC-FRF-GLOBAL-310,Free Fire Diamonds 310 Diamonds (Global),Gift Cards & Software Keys,12,5,B&H Photo,https://www.bhphotovideo.com/c/search?Ntt=Free+Fire+Diamonds+310+Diamonds+%28Global%29&N=0&InitialSearch=yes&sts=ma,,,USD,Needs supplier verification,"Best for cameras, networking, creators, and computer hardware."
