ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Sale price,Regular price,Categories,Brands,Shipping class,Weight (kg),Length (cm),Width (cm),Height (cm),Meta: _ng_warranty,Meta: _ng_tech_specs,Meta: _ng_ar_title,Meta: _ng_ar_description,Meta: _ng_model_number,Meta: _ng_country_of_origin,Meta: _ng_hs_code,Meta: _ng_voltage,Meta: _ng_lifecycle_status
54,simple,GM-CMP-NZX-001,,NZXT H9 Elite Mid-Tower ATX Case,1,0,visible,,1349,Hardware,,Oversized,12,60,55,55,Standard NGS Warranty,Condition: New | Class: Oversized,NZXT H9 Elite كيس متوسط كيس ATX,"<p>يقدم لك NZXT H9 Elite Mid-Tower ATX Case حلًا مثاليًا لتنظيم أجهزتك الإلكترونية وتعزيز أدائها.</p> <h2><strong>لماذا هذا المنتج؟</strong></h2> <ul style=""direction: rtl;""> <li>تصمي",,,,,Mainstream
55,simple,GM-CMP-COR-001,,Corsair iCUE H150i RGB Elite (360mm AIO),1,0,visible,,1149,Hardware,,Heavy,2.5,42,22,14,Standard NGS Warranty,Condition: New | Class: Heavy,كورسير iCUE H150i RGB Elite (360mm AIO),"<p>تتميز لوحة التبريد ال todo ""أيكو"" من كورسار بتصميمها المبتكر وتقنياتها المتقدمة، مما يجعلها الخيار الأمثل لمحبي الألعاب.</p> <h2><strong>لماذا هذا المنتج؟</strong></h2> <ul style=""directio",,,,,Mainstream
56,simple,GM-GPU-GIG-001,,Gigabyte AORUS RTX 5090 Master 32GB,1,0,visible,,27999,Hardware,,Heavy,3.5,45,30,15,Standard NGS Warranty,Condition: New | Class: Heavy,جيجابايت AORUS RTX 5090 Master 32GB,<p>تتميز بطاقة الرسوميات Gigabyte AORUS RTX 5090 Master 32GB بأداء قوي ودقة رسومية عالية، مثالية لمحترفي التحرير الفيديو والألعاب ثلاثية الأبعاد.</p> <h2><strong>لماذا هذا المنتج؟</strong></h2>,,,,,Mainstream
57,simple,GM-GPU-NVD-002,,NVIDIA RTX 5080 Founders Edition (16GB),1,0,visible,,6499,Hardware,,Heavy,2.8,40,25,12,Standard NGS Warranty,Condition: New | Class: Heavy,إنفيديا RTX 5080 فاوندرز إديشن (16GB),"<p>تتميز بمعالج NVIDIA RTX 5080 Founders Edition بأحدث التقنيات التي تضمن أداءً مذهلاً في الألعاب والتطبيقات المتقدمة.</p> <h2><strong>لماذا هذا المنتج؟</strong></h2> <ul style=""direction: rt",,,,,Mainstream
58,simple,GM-GPU-NVD-001,,NVIDIA RTX 5090 Founders Edition (32GB),1,0,visible,22999,26449,Hardware,,Heavy,3.2,42,28,14,Standard NGS Warranty,Condition: New | Class: Heavy,إنفيديا RTX 5090 فاوندرز إديشن (32GB),<p>تعد NVIDIA RTX 5090 Founders Edition من أقوى بطاقات الرسوميات المتاحة حالياً، مصممة لتقديم تجربة رسومية عميقة وذكاء حاسوبي متقدم.</p> <strong>لماذا هذا المنتج؟</strong> <ul> <li>قد,,,,,Mainstream
84,simple,NT-MPC-DEL-001,,Dell OptiPlex 7070 Micro (Refurb),1,0,visible,,1610,Homelab,,Standard,1.5,22,20,8,Standard NGS Warranty,Condition: Refurbished | Class: Standard,دell OptiPlex 7070 ميكرو (مرجع),<p>تتميز ديل أوبتيبلекс 7070 ميكرو (ريفورب) بتصميمها компактный وفعالية عالية في استخدام الطاقة، مما يجعلها خيارًا مثاليًا للعملاء الذين يبحثون عن كمبيوتر قوي ومحمول.</p> <h2><strong>لماذا هذ,,,,,Mainstream
85,simple,NT-MPC-BLK-002,,Beelink EQ12 (Intel N100),1,0,visible,,1888,Homelab,,Standard,0.8,18,15,8,Standard NGS Warranty,Condition: New | Class: Standard,بييلينك إيه جي 12 (إنтел ن100),<p>يقدم لكم متجرنا الإلكتروني Beelink EQ12، جهازًا مثاليًا للعملاء الذين يبحثون عن أداء عالٍ في الحوسبة المحمولة.</p> <h3><strong>لماذا هذا المنتج؟</strong></h3> <ul> <li>معالج Intel,,,,,Mainstream
86,simple,NT-MPC-BLK-001,,Beelink SER7 (Ryzen 7 7735HS),1,0,visible,,2476,Homelab,,Standard,1,18,15,8,Standard NGS Warranty,Condition: New | Class: Standard,بييلينك سير7 (ريزين 7 7735HS),"<p>تتميز جهاز Beelink SER7 بمعالج Ryzen 7 7735HS القوي والمتطور، مما يجعله الخيار الأمثل للعمل والترفيه.</p> <h2><strong>لماذا هذا المنتج؟</strong></h2> <ul style=""direction: rtl;""> <",,,,,Mainstream
87,simple,NT-MPC-MNF-001,,MinisForum MS-01 (Homelab Server),1,0,visible,3999,4599,Homelab,,Heavy,3.5,35,25,12,Standard NGS Warranty,Condition: New | Class: Heavy,مินيسفورم MS-01 (خادم المنزلية),"<p>مُعد للعمل في المنزل، يوفر MinisForum MS-01 أداءً قويًا مع تصميم مدمج.</p> <h2><strong>لماذا هذا المنتج؟</strong></h2> <ul style=""direction: rtl;""> <li>معالج Intel® Core™ i3-10",,,,,Mainstream
88,simple,NT-POE-TPL-001,,TP-Link TL-SG1005P 5-Port PoE,1,0,visible,,299,Networking,,Standard,0.5,20,15,5,Standard NGS Warranty,Condition: New | Class: Standard,تي بي لينك TL-SG1005P 5-Port PoE,<p>تتميز شبكة تبادل البيانات اللاسلكية TP-Link TL-SG1005P بخمس منافذ PoE، مما يجعلها الخيار الأمثل لشبكات الشركات الصغيرة والمتوسطة.</p> <h2><strong>لماذا هذا المنتج؟</strong></h2> <ul style=,,,,,Mainstream
